x,y,z,yaw,mps,change_flag
703391.029,5268544.322,0,1.9910513162760117,10,0
703390.621,5268545.235,0,1.9897310277348563,10,0
703390.214,5268546.149,0,1.990137974469239,10,0
703389.807,5268547.062,0,1.9906437023210524,10,0
703389.399,5268547.976,0,1.9901379740898941,10,0
703388.992,5268548.889,0,1.990137974469239,10,0
703388.585,5268549.802,0,1.9897310277348563,10,0
703388.178,5268550.716,0,1.9910513166559787,10,0
703387.77,5268551.629,0,1.9897310277348563,10,0
703387.363,5268552.543,0,1.9901379740898941,10,0
703386.956,5268553.456,0,1.9910513167622625,10,0
703386.548,5268554.369,0,1.9897310277348563,10,0
703386.141,5268555.283,0,1.9901379739835237,10,0
703385.734,5268556.196,0,1.9897310277348563,10,0
703385.327,5268557.11,0,1.9910513167622625,10,0
703384.919,5268558.023,0,1.9897310277348563,10,0
703384.512,5268558.937,0,1.990137974469239,10,0
703384.105,5268559.85,0,1.9910513162760117,10,0
703383.697,5268560.763,0,1.9897310277348563,10,0
703383.29,5268561.677,0,1.990137974469239,10,0
703382.883,5268562.59,0,1.9897310277348563,10,0
703382.476,5268563.504,0,1.9910513163822954,10,0
703382.068,5268564.417,0,1.9897310277348563,10,0
703381.661,5268565.331,0,1.990137974469239,10,0
703381.254,5268566.244,0,1.9910513166559787,10,0
703380.846,5268567.157,0,1.9897310273562039,10,0
703380.439,5268568.071,0,1.990137974469239,10,0
703380.032,5268568.984,0,1.9897310277348563,10,0
703379.625,5268569.898,0,1.9910513167622625,10,0
703379.217,5268570.811,0,1.9901379739835237,10,0
703378.81,5268571.724,0,1.9897310277348563,10,0
703378.403,5268572.638,0,1.9910513167622625,10,0
703377.995,5268573.551,0,1.9897310277348563,10,0
703377.588,5268574.465,0,1.990137974469239,10,0
703377.181,5268575.378,0,1.9897310273562039,10,0
703376.774,5268576.292,0,1.9910513166559787,10,0
703376.366,5268577.205,0,1.990137974469239,10,0
703375.959,5268578.118,0,1.9897310277348563,10,0
703375.552,5268579.032,0,1.9910513163822954,10,0
703375.144,5268579.945,0,1.9897310277348563,10,0
703374.737,5268580.859,0,1.990137974469239,10,0
703374.33,5268581.772,0,1.990137974469239,10,0
703373.923,5268582.685,0,1.990643701835572,10,0
703373.515,5268583.599,0,1.990137974469239,10,0
703373.108,5268584.512,0,1.9897310277348563,10,0
703372.701,5268585.426,0,1.990137974469239,10,0
703372.294,5268586.339,0,1.9906437022148462,10,0
703371.886,5268587.253,0,1.9901379740898941,10,0
703371.479,5268588.166,0,1.990137974469239,10,0
703371.072,5268589.079,0,1.9906437023210524,10,0
703370.664,5268589.993,0,1.9901379740898941,10,0
703370.257,5268590.906,0,1.9897310277348563,10,0
703369.85,5268591.82,0,1.990137974469239,10,0
703369.443,5268592.733,0,1.9906437022148462,10,0
703369.035,5268593.647,0,1.990137974469239,10,0
703368.628,5268594.56,0,1.9901379740898941,10,0
703368.221,5268595.473,0,1.9906437023210524,10,0
703367.813,5268596.387,0,1.990137974469239,10,0
703367.406,5268597.3,0,1.9897310277348563,10,0
703366.999,5268598.214,0,1.9901379740898941,10,0
703366.592,5268599.127,0,1.9910513166559787,10,0
703366.184,5268600.04,0,1.9897310277348563,10,0
703365.777,5268600.954,0,1.990137974469239,10,0
703365.37,5268601.867,0,1.990643701835572,10,0
703364.962,5268602.781,0,1.990137974469239,10,0
703364.555,5268603.694,0,1.9897310277348563,10,0
703364.148,5268604.608,0,1.990137974469239,10,0
703363.741,5268605.521,0,1.9910513163822954,10,0
703363.333,5268606.434,0,1.9897310277348563,10,0
703362.926,5268607.348,0,1.990137974469239,10,0
703362.519,5268608.261,0,1.9906437022148462,10,0
703362.111,5268609.175,0,1.9901379740898941,10,0
703361.704,5268610.088,0,1.9897310277348563,10,0
703361.297,5268611.002,0,1.990137974469239,10,0
