Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6079,47.54028512551335,17.70156608570867,703301.924,5268744.162,703301.924,5268744.162,0,10,0,1.98493487755387
6080,47.540285950977896,17.70156559228003,703301.884,5268744.253,703301.884,5268744.253,0,10,0,1.998260636239465
6081,47.54028677644244,17.701565098851386,703301.843,5268744.343,703301.843,5268744.343,0,10,0,1.98493487755387
6082,47.54028760190699,17.701564605422742,703301.803,5268744.434,703301.803,5268744.434,0,10,0,1.98902065625411
6083,47.540288427371536,17.7015641119941,703301.763,5268744.524,703301.763,5268744.524,0,10,0,1.9982606412145805
6084,47.54028925283608,17.70156361856546,703301.722,5268744.614,703301.722,5268744.614,0,10,0,1.984934876481732
6085,47.54029007830063,17.701563125136815,703301.682,5268744.705,703301.682,5268744.705,0,10,0,1.9890206573342522
6086,47.540290903765175,17.70156263170817,703301.642,5268744.795,703301.642,5268744.795,0,10,0,1.9941070821480382
6087,47.54029172922972,17.701562138279527,703301.601,5268744.886,703301.601,5268744.886,0,10,0,1.9890206573342522
6088,47.54029255469427,17.701561644850887,703301.561,5268744.976,703301.561,5268744.976,0,10,0,1.98493487755387
6089,47.540293380158815,17.701561151422244,703301.521,5268745.067,703301.521,5268745.067,0,10,0,1.9982606401433833
6090,47.54029420562336,17.7015606579936,703301.48,5268745.157,703301.48,5268745.157,0,10,0,1.98493487755387
6091,47.54029503108791,17.701560164564956,703301.44,5268745.248,703301.44,5268745.248,0,10,0,1.9890206524136045
6092,47.540295856552454,17.701559671136316,703301.4,5268745.338,703301.4,5268745.338,0,10,0,1.9890206573342522
6093,47.540296682017,17.701559177707672,703301.36,5268745.428,703301.36,5268745.428,0,10,0,1.9941070821480382
6094,47.54029750748155,17.70155868427903,703301.319,5268745.519,703301.319,5268745.519,0,10,0,1.9890206573342522
6095,47.540298332946094,17.701558190850385,703301.279,5268745.609,703301.279,5268745.609,0,10,0,1.98493487755387
6096,47.54029915841064,17.70155769742174,703301.239,5268745.7,703301.239,5268745.7,0,10,0,1.9982606401433833
6097,47.54029998387519,17.7015572039931,703301.198,5268745.79,703301.198,5268745.79,0,10,0,1.984934876481732
6098,47.54030080933973,17.701556710564457,703301.158,5268745.881,703301.158,5268745.881,0,10,0,1.9890206573342522
6099,47.54030163480428,17.701556217135813,703301.118,5268745.971,703301.118,5268745.971,0,10,0,1.9982606401433833
6100,47.540302460268826,17.70155572370717,703301.077,5268746.061,703301.077,5268746.061,0,10,0,1.98493487755387
6101,47.54030328573337,17.70155523027853,703301.037,5268746.152,703301.037,5268746.152,0,10,0,1.9890206573342522
6102,47.54030411119792,17.701554736849886,703300.997,5268746.242,703300.997,5268746.242,0,10,0,1.9941070821480382
6103,47.540304936662466,17.701554243421242,703300.956,5268746.333,703300.956,5268746.333,0,10,0,1.9890206534937467
6104,47.54030576212701,17.7015537499926,703300.916,5268746.423,703300.916,5268746.423,0,10,0,1.984934876481732
6105,47.54030658759156,17.701553256563958,703300.876,5268746.514,703300.876,5268746.514,0,10,0,1.9982606412145805
6106,47.540307413056105,17.701552763135314,703300.835,5268746.604,703300.835,5268746.604,0,10,0,1.984934876481732
6107,47.54030823852065,17.70155226970667,703300.795,5268746.695,703300.795,5268746.695,0,10,0,1.9890206573342522
6108,47.5403090639852,17.701551776278027,703300.755,5268746.785,703300.755,5268746.785,0,10,0,1.9982606401433833
6109,47.540309889449745,17.701551282849387,703300.714,5268746.875,703300.714,5268746.875,0,10,0,1.98493487755387
6110,47.54031071491429,17.701550789420743,703300.674,5268746.966,703300.674,5268746.966,0,10,0,1.9890206573342522
6111,47.54031154037884,17.7015502959921,703300.634,5268747.056,703300.634,5268747.056,0,10,0,1.9941070821480382
6112,47.540312365843384,17.701549802563456,703300.593,5268747.147,703300.593,5268747.147,0,10,0,1.9890206573342522
6113,47.54031319130793,17.701549309134816,703300.553,5268747.237,703300.553,5268747.237,0,10,0,1.984934876481732
6114,47.54031401677248,17.701548815706172,703300.513,5268747.328,703300.513,5268747.328,0,10,0,1.9982606412145805
6115,47.540314842237024,17.701548322277528,703300.472,5268747.418,703300.472,5268747.418,0,10,0,1.9890206524136045
6116,47.54031566770157,17.701547828848884,703300.432,5268747.508,703300.432,5268747.508,0,10,0,1.98493487755387
6117,47.54031649316612,17.701547335420244,703300.392,5268747.599,703300.392,5268747.599,0,10,0,1.9982606401433833
6118,47.54031731863066,17.7015468419916,703300.351,5268747.689,703300.351,5268747.689,0,10,0,1.98493487755387
6119,47.54031814409521,17.701546348562957,703300.311,5268747.78,703300.311,5268747.78,0,10,0,1.9890206573342522
6120,47.540318969559756,17.701545855134313,703300.271,5268747.87,703300.271,5268747.87,0,10,0,1.9941070821480382
6121,47.5403197950243,17.701545361705673,703300.23,5268747.961,703300.23,5268747.961,0,10,0,1.9890206573342522
6122,47.54032062048885,17.70154486827703,703300.19,5268748.051,703300.19,5268748.051,0,10,0,1.984934876481732
